Tópico;ID;Classe;Descrição;Possíveis Causas;Sugestão de Correção
6.1.3 Disjuntores;64;Fault;Breaker Disarmed: Train Front - FC6;O dispositivo de proteção do circuito de tração dianteira está desarmado ou não apresentou retorno correto. As causas incluem sobrecorrente, curto-circuito, carga defeituosa, cabo ou conector danificado, alimentação anormal, contato auxiliar ou circuito de feedback com falha.;"Desenergizar e inspecionar o circuito de tração dianteira, procurando curto, aquecimento, dano em cabos, conectores e carga alimentada. Verificar o contato de retorno e a continuidade do circuito. Eliminar a causa antes de rearmar; se desarmar novamente, manter o circuito isolado e avaliar o componente."
6.1.3 Disjuntores;65;Fault;Breaker Disarmed: Steering Front - FC7;O dispositivo de proteção do circuito de direção dianteira está desarmado ou não apresentou retorno correto. As causas incluem sobrecorrente, curto-circuito, carga defeituosa, cabo ou conector danificado, alimentação anormal, contato auxiliar ou circuito de feedback com falha.;"Desenergizar e inspecionar o circuito de direção dianteira, procurando curto, aquecimento, dano em cabos, conectores e carga alimentada. Verificar o contato de retorno e a continuidade do circuito. Eliminar a causa antes de rearmar; se desarmar novamente, manter o circuito isolado e avaliar o componente."
6.1.3 Disjuntores;66;Fault;Breaker Disarmed: Train Rear - FC8;O dispositivo de proteção do circuito de tração traseira está desarmado ou não apresentou retorno correto. As causas incluem sobrecorrente, curto-circuito, carga defeituosa, cabo ou conector danificado, alimentação anormal, contato auxiliar ou circuito de feedback com falha.;"Desenergizar e inspecionar o circuito de tração traseira, procurando curto, aquecimento, dano em cabos, conectores e carga alimentada. Verificar o contato de retorno e a continuidade do circuito. Eliminar a causa antes de rearmar; se desarmar novamente, manter o circuito isolado e avaliar o componente."
6.1.3 Disjuntores;67;Fault;Breaker Disarmed: Steering Rear - FC9;O dispositivo de proteção do circuito de direção traseira está desarmado ou não apresentou retorno correto. As causas incluem sobrecorrente, curto-circuito, carga defeituosa, cabo ou conector danificado, alimentação anormal, contato auxiliar ou circuito de feedback com falha.;"Desenergizar e inspecionar o circuito de direção traseira, procurando curto, aquecimento, dano em cabos, conectores e carga alimentada. Verificar o contato de retorno e a continuidade do circuito. Eliminar a causa antes de rearmar; se desarmar novamente, manter o circuito isolado e avaliar o componente."
6.1.3 Disjuntores;68;Fault;Breaker Disarmed: Train Brakes Braker - FC11;O dispositivo de proteção do circuito dos freios de tração está desarmado ou não apresentou retorno correto. As causas incluem sobrecorrente, curto-circuito, carga defeituosa, cabo ou conector danificado, alimentação anormal, contato auxiliar ou circuito de feedback com falha.;"Desenergizar e inspecionar o circuito dos freios de tração, procurando curto, aquecimento, dano em cabos, conectores e carga alimentada. Verificar o contato de retorno e a continuidade do circuito. Eliminar a causa antes de rearmar; se desarmar novamente, manter o circuito isolado e avaliar o componente."
6.1.3 Disjuntores;69;Fault;Breaker Disarmed: Lift FL - FC10;O dispositivo de proteção do circuito de elevação dianteiro esquerdo está desarmado ou não apresentou retorno correto. As causas incluem sobrecorrente, curto-circuito, carga defeituosa, cabo ou conector danificado, alimentação anormal, contato auxiliar ou circuito de feedback com falha.;"Desenergizar e inspecionar o circuito de elevação dianteiro esquerdo, procurando curto, aquecimento, dano em cabos, conectores e carga alimentada. Verificar o contato de retorno e a continuidade do circuito. Eliminar a causa antes de rearmar; se desarmar novamente, manter o circuito isolado e avaliar o componente."
6.1.3 Disjuntores;70;Fault;Breaker Disarmed: Lift FR - FC12;O dispositivo de proteção do circuito de elevação dianteiro direito está desarmado ou não apresentou retorno correto. As causas incluem sobrecorrente, curto-circuito, carga defeituosa, cabo ou conector danificado, alimentação anormal, contato auxiliar ou circuito de feedback com falha.;"Desenergizar e inspecionar o circuito de elevação dianteiro direito, procurando curto, aquecimento, dano em cabos, conectores e carga alimentada. Verificar o contato de retorno e a continuidade do circuito. Eliminar a causa antes de rearmar; se desarmar novamente, manter o circuito isolado e avaliar o componente."
6.1.3 Disjuntores;71;Fault;Breaker Disarmed: Lift RL - FC13;O dispositivo de proteção do circuito de elevação traseiro esquerdo está desarmado ou não apresentou retorno correto. As causas incluem sobrecorrente, curto-circuito, carga defeituosa, cabo ou conector danificado, alimentação anormal, contato auxiliar ou circuito de feedback com falha.;"Desenergizar e inspecionar o circuito de elevação traseiro esquerdo, procurando curto, aquecimento, dano em cabos, conectores e carga alimentada. Verificar o contato de retorno e a continuidade do circuito. Eliminar a causa antes de rearmar; se desarmar novamente, manter o circuito isolado e avaliar o componente."
6.1.3 Disjuntores;72;Fault;Breaker Disarmed: Lift RR - FC14;O dispositivo de proteção do circuito de elevação traseiro direito está desarmado ou não apresentou retorno correto. As causas incluem sobrecorrente, curto-circuito, carga defeituosa, cabo ou conector danificado, alimentação anormal, contato auxiliar ou circuito de feedback com falha.;"Desenergizar e inspecionar o circuito de elevação traseiro direito, procurando curto, aquecimento, dano em cabos, conectores e carga alimentada. Verificar o contato de retorno e a continuidade do circuito. Eliminar a causa antes de rearmar; se desarmar novamente, manter o circuito isolado e avaliar o componente."
6.1.4 CAN Open;91;Fault;CAN Open Powertrain: TL1 Not Operational;O drive do conjunto de tração e direção não entrou no estado operacional da rede CANopen por ausência de alimentação, interrupção do barramento, cabo ou conector defeituoso, blindagem ou terminação inadequada, endereço ou configuração incorreta, estado de bus-off ou falha interna.;Verificar alimentação do drive, continuidade e polaridade da rede, conectores, blindagem e resistores de terminação. Confirmar endereço, configuração e estado do gateway, reiniciar a rede de forma controlada e validar que o nó entra em operação. Substituir o dispositivo apenas se a comunicação permanecer indisponível.
6.1.4 CAN Open;92;Fault;CAN Open Powertrain: TL2 Not Operational;O drive do conjunto de tração e direção não entrou no estado operacional da rede CANopen por ausência de alimentação, interrupção do barramento, cabo ou conector defeituoso, blindagem ou terminação inadequada, endereço ou configuração incorreta, estado de bus-off ou falha interna.;Verificar alimentação do drive, continuidade e polaridade da rede, conectores, blindagem e resistores de terminação. Confirmar endereço, configuração e estado do gateway, reiniciar a rede de forma controlada e validar que o nó entra em operação. Substituir o dispositivo apenas se a comunicação permanecer indisponível.
6.1.4 CAN Open;93;Fault;CAN Open Powertrain: TL3 Not Operational;O drive do conjunto de tração e direção não entrou no estado operacional da rede CANopen por ausência de alimentação, interrupção do barramento, cabo ou conector defeituoso, blindagem ou terminação inadequada, endereço ou configuração incorreta, estado de bus-off ou falha interna.;Verificar alimentação do drive, continuidade e polaridade da rede, conectores, blindagem e resistores de terminação. Confirmar endereço, configuração e estado do gateway, reiniciar a rede de forma controlada e validar que o nó entra em operação. Substituir o dispositivo apenas se a comunicação permanecer indisponível.
6.1.4 CAN Open;94;Fault;CAN Open Powertrain: TL4 Not Operational;O drive do conjunto de tração e direção não entrou no estado operacional da rede CANopen por ausência de alimentação, interrupção do barramento, cabo ou conector defeituoso, blindagem ou terminação inadequada, endereço ou configuração incorreta, estado de bus-off ou falha interna.;Verificar alimentação do drive, continuidade e polaridade da rede, conectores, blindagem e resistores de terminação. Confirmar endereço, configuração e estado do gateway, reiniciar a rede de forma controlada e validar que o nó entra em operação. Substituir o dispositivo apenas se a comunicação permanecer indisponível.
6.1.4 CAN Open;95;Fault;CAN Open Powertrain: BS1 Not Operational;O encoder absoluto do conjunto de tração e direção não entrou no estado operacional da rede CANopen por ausência de alimentação, interrupção do barramento, cabo ou conector defeituoso, blindagem ou terminação inadequada, endereço ou configuração incorreta, estado de bus-off ou falha interna.;Verificar alimentação do encoder absoluto, continuidade e polaridade da rede, conectores, blindagem e resistores de terminação. Confirmar endereço, configuração e estado do gateway, reiniciar a rede de forma controlada e validar que o nó entra em operação. Substituir o dispositivo apenas se a comunicação permanecer indisponível.
6.1.4 CAN Open;96;Fault;CAN Open Powertrain: BS4 Not Operational;O encoder absoluto do conjunto de tração e direção não entrou no estado operacional da rede CANopen por ausência de alimentação, interrupção do barramento, cabo ou conector defeituoso, blindagem ou terminação inadequada, endereço ou configuração incorreta, estado de bus-off ou falha interna.;Verificar alimentação do encoder absoluto, continuidade e polaridade da rede, conectores, blindagem e resistores de terminação. Confirmar endereço, configuração e estado do gateway, reiniciar a rede de forma controlada e validar que o nó entra em operação. Substituir o dispositivo apenas se a comunicação permanecer indisponível.
6.1.4 CAN Open;106;Fault;CAN Open Lift: TL5 Not Operational;O drive do sistema de elevação não entrou no estado operacional da rede CANopen por ausência de alimentação, interrupção do barramento, cabo ou conector defeituoso, blindagem ou terminação inadequada, endereço ou configuração incorreta, estado de bus-off ou falha interna.;Verificar alimentação do drive, continuidade e polaridade da rede, conectores, blindagem e resistores de terminação. Confirmar endereço, configuração e estado do gateway, reiniciar a rede de forma controlada e validar que o nó entra em operação. Substituir o dispositivo apenas se a comunicação permanecer indisponível.
6.1.4 CAN Open;107;Fault;CAN Open Lift: TL6 Not Operational;O drive do sistema de elevação não entrou no estado operacional da rede CANopen por ausência de alimentação, interrupção do barramento, cabo ou conector defeituoso, blindagem ou terminação inadequada, endereço ou configuração incorreta, estado de bus-off ou falha interna.;Verificar alimentação do drive, continuidade e polaridade da rede, conectores, blindagem e resistores de terminação. Confirmar endereço, configuração e estado do gateway, reiniciar a rede de forma controlada e validar que o nó entra em operação. Substituir o dispositivo apenas se a comunicação permanecer indisponível.
6.1.4 CAN Open;108;Fault;CAN Open Lift: TL7 Not Operational;O drive do sistema de elevação não entrou no estado operacional da rede CANopen por ausência de alimentação, interrupção do barramento, cabo ou conector defeituoso, blindagem ou terminação inadequada, endereço ou configuração incorreta, estado de bus-off ou falha interna.;Verificar alimentação do drive, continuidade e polaridade da rede, conectores, blindagem e resistores de terminação. Confirmar endereço, configuração e estado do gateway, reiniciar a rede de forma controlada e validar que o nó entra em operação. Substituir o dispositivo apenas se a comunicação permanecer indisponível.
6.1.4 CAN Open;109;Fault;CAN Open Lift: TL8 Not Operational;O drive do sistema de elevação não entrou no estado operacional da rede CANopen por ausência de alimentação, interrupção do barramento, cabo ou conector defeituoso, blindagem ou terminação inadequada, endereço ou configuração incorreta, estado de bus-off ou falha interna.;Verificar alimentação do drive, continuidade e polaridade da rede, conectores, blindagem e resistores de terminação. Confirmar endereço, configuração e estado do gateway, reiniciar a rede de forma controlada e validar que o nó entra em operação. Substituir o dispositivo apenas se a comunicação permanecer indisponível.
6.1.4 CAN Open;110;Fault;CAN Open Lift: BS2 Not Operational;O encoder absoluto do sistema de elevação não entrou no estado operacional da rede CANopen por ausência de alimentação, interrupção do barramento, cabo ou conector defeituoso, blindagem ou terminação inadequada, endereço ou configuração incorreta, estado de bus-off ou falha interna.;Verificar alimentação do encoder absoluto, continuidade e polaridade da rede, conectores, blindagem e resistores de terminação. Confirmar endereço, configuração e estado do gateway, reiniciar a rede de forma controlada e validar que o nó entra em operação. Substituir o dispositivo apenas se a comunicação permanecer indisponível.
6.1.4 CAN Open;111;Fault;CAN Open Lift: BS3 Not Operational;O encoder absoluto do sistema de elevação não entrou no estado operacional da rede CANopen por ausência de alimentação, interrupção do barramento, cabo ou conector defeituoso, blindagem ou terminação inadequada, endereço ou configuração incorreta, estado de bus-off ou falha interna.;Verificar alimentação do encoder absoluto, continuidade e polaridade da rede, conectores, blindagem e resistores de terminação. Confirmar endereço, configuração e estado do gateway, reiniciar a rede de forma controlada e validar que o nó entra em operação. Substituir o dispositivo apenas se a comunicação permanecer indisponível.
6.1.4 CAN Open;112;Fault;CAN Open Lift: BS5 Not Operational;O encoder absoluto do sistema de elevação não entrou no estado operacional da rede CANopen por ausência de alimentação, interrupção do barramento, cabo ou conector defeituoso, blindagem ou terminação inadequada, endereço ou configuração incorreta, estado de bus-off ou falha interna.;Verificar alimentação do encoder absoluto, continuidade e polaridade da rede, conectores, blindagem e resistores de terminação. Confirmar endereço, configuração e estado do gateway, reiniciar a rede de forma controlada e validar que o nó entra em operação. Substituir o dispositivo apenas se a comunicação permanecer indisponível.
6.1.4 CAN Open;113;Fault;CAN Open Lift: BS6 Not Operational;O encoder absoluto do sistema de elevação não entrou no estado operacional da rede CANopen por ausência de alimentação, interrupção do barramento, cabo ou conector defeituoso, blindagem ou terminação inadequada, endereço ou configuração incorreta, estado de bus-off ou falha interna.;Verificar alimentação do encoder absoluto, continuidade e polaridade da rede, conectores, blindagem e resistores de terminação. Confirmar endereço, configuração e estado do gateway, reiniciar a rede de forma controlada e validar que o nó entra em operação. Substituir o dispositivo apenas se a comunicação permanecer indisponível.
6.1.4 CAN Open;120;Warnings;CAN Open: Booting Powertrain;A rede CANopen do conjunto de tração e direção está em inicialização. A condição pode permanecer ativa por atraso na alimentação, nó que não concluiu o boot, falha de comunicação, configuração incorreta ou dispositivo sem resposta.;Aguardar a conclusão normal da partida. Se o aviso permanecer, verificar alimentação dos nós, cabos, conectores, blindagem e terminação da rede, além do estado dos gateways e dispositivos. Reiniciar a rede de forma controlada e confirmar que todos os nós entram em operação.
6.1.4 CAN Open;121;Warnings;CAN Open: Booting Lift;A rede CANopen do sistema de elevação está em inicialização. A condição pode permanecer ativa por atraso na alimentação, nó que não concluiu o boot, falha de comunicação, configuração incorreta ou dispositivo sem resposta.;Aguardar a conclusão normal da partida. Se o aviso permanecer, verificar alimentação dos nós, cabos, conectores, blindagem e terminação da rede, além do estado dos gateways e dispositivos. Reiniciar a rede de forma controlada e confirmar que todos os nós entram em operação.
6.1.5 Segurança;122;Fault;Panels: Not Closed - FRONT LEFT;O painel lateral dianteiro esquerdo está aberto, parcialmente fechado ou sem travamento adequado. Também pode haver obstrução, desalinhamento mecânico, posicionamento incorreto do sensor de fechamento, ausência de alimentação, mau contato no cabo ou conector, ou falha do sensor.;Colocar o veículo em condição segura, verificar se há objetos impedindo o fechamento e fechar completamente o painel. Inspecionar travamento, batentes, dobradiças, alinhamento do sensor e elemento de detecção, além de fixação, alimentação, cabos e conectores. Ajustar ou substituir o componente e testar o sinal.
6.1.5 Segurança;180;Fault;Emergency: Button not released - FRONT LEFT;O botão de emergência dianteiro esquerdo permanece acionado ou não retornou corretamente por travamento mecânico, contato de segurança defeituoso, discrepância entre canais, cabo ou conector danificado ou circuito de segurança aberto.;Colocar o veículo em condição segura, identificar o botão e liberá-lo pelo mecanismo previsto. Verificar retorno mecânico, bloco de contatos, dois canais de segurança, cabos e conectores. Eliminar a causa e executar o rearme somente após confirmar que a área está livre.
6.1.5 Segurança;181;Fault;Emergency: Emergency: Button not released - REAR RIGHT;O botão de emergência traseiro direito permanece acionado ou não retornou corretamente por travamento mecânico, contato de segurança defeituoso, discrepância entre canais, cabo ou conector danificado ou circuito de segurança aberto.;Colocar o veículo em condição segura, identificar o botão e liberá-lo pelo mecanismo previsto. Verificar retorno mecânico, bloco de contatos, dois canais de segurança, cabos e conectores. Eliminar a causa e executar o rearme somente após confirmar que a área está livre.
6.1.5 Segurança;182;Fault;Emergency: Button not released - TABLE LEFT;O botão de emergência do lado esquerdo da mesa permanece acionado ou não retornou corretamente por travamento mecânico, contato de segurança defeituoso, discrepância entre canais, cabo ou conector danificado ou circuito de segurança aberto.;Colocar o veículo em condição segura, identificar o botão e liberá-lo pelo mecanismo previsto. Verificar retorno mecânico, bloco de contatos, dois canais de segurança, cabos e conectores. Eliminar a causa e executar o rearme somente após confirmar que a área está livre.
6.1.5 Segurança;183;Fault;Emergency: Button not released - TABLE RIGHT;O botão de emergência do lado direito da mesa permanece acionado ou não retornou corretamente por travamento mecânico, contato de segurança defeituoso, discrepância entre canais, cabo ou conector danificado ou circuito de segurança aberto.;Colocar o veículo em condição segura, identificar o botão e liberá-lo pelo mecanismo previsto. Verificar retorno mecânico, bloco de contatos, dois canais de segurança, cabos e conectores. Eliminar a causa e executar o rearme somente após confirmar que a área está livre.
6.1.6 Gerais;210;Message;Generals: In Manual Mode;Indicação de que o veículo está em modo manual por seleção do operador, chave de modo ou comando de manutenção. Não representa falha quando a condição foi selecionada intencionalmente.;Confirmar se o modo manual é adequado à atividade e operar conforme o procedimento de segurança. Para retornar ao automático, finalizar intervenções, liberar os permissivos e selecionar o modo correspondente. Se a indicação não corresponder à chave, verificar entrada, cabeamento e comando.
6.1.6 Gerais;211;Message;Generals: In Automatic Mode;Indicação de que o veículo está em modo automático após atendimento dos permissivos e seleção correspondente. Não representa falha quando a condição é intencional.;Confirmar que a área está liberada e que o veículo pode operar automaticamente. Nenhuma correção é necessária se o modo foi selecionado. Se a indicação estiver incorreta, verificar seletor, entradas de comando, comunicação e lógica de habilitação.
6.1.6 Gerais;212;Message;Generals: In AutoStart Mode;Indicação de que o modo de partida automática está ativo. Não representa falha quando habilitado de forma intencional e com os permissivos atendidos.;Confirmar que a área e o processo estão preparados para a partida automática. Nenhuma correção é necessária se a condição for esperada. Se estiver indevida, desabilitar o AutoStart conforme o procedimento e verificar o comando, seletor e sinais de habilitação.
6.1.6 Gerais;213;Warnings;Generals: Bypass Key Activated;A chave de bypass está acionada, desabilitando ou contornando uma condição de operação conforme a lógica do equipamento. Pode ser uma condição intencional de manutenção ou seleção indevida, contato travado ou entrada ativa por falha de cabeamento.;Confirmar a autorização e a finalidade do bypass. Se não for necessário, retornar a chave à posição normal e verificar se a indicação desaparece. Persistindo, inspecionar o seletor, contatos, cabos e entrada do controlador. Não liberar operação automática com bypass indevido.
6.1.6 Gerais;214;Warnings;Generals: Bypass Activated;Uma função de bypass está ativa por comando autorizado, chave de manutenção, condição lógica mantida ou falha no sinal de retorno. A condição pode reduzir permissivos ou proteções de processo.;Confirmar qual bypass está ativo e se existe autorização formal para uso. Remover a condição assim que a intervenção terminar, verificar seletor, entradas e lógica de comando e confirmar a restauração dos permissivos. Não operar automaticamente com bypass não identificado.
6.1.6 Gerais;215;Warnings;Generals: Synchronized;Indicação de que os sistemas ou eixos concluíram a sincronização prevista. Não representa falha quando ocorre durante a sequência normal de inicialização ou alinhamento.;Nenhuma ação corretiva é necessária se a indicação for esperada. Confirmar que os eixos e referências estão coerentes antes de iniciar o ciclo. Se a indicação permanecer em condição inadequada, verificar sequência de sincronismo, sensores de posição e comunicação.
6.1.6 Gerais;216;Warnings;Generals: In Automatic Mode And Not AutoStart;O veículo está em modo automático, porém a partida automática não está habilitada por comando ausente, permissivo não atendido, condição de segurança ativa, sequência incompleta ou seleção de AutoStart desativada.;Verificar se a partida automática é necessária e se a área está segura. Confirmar AutoStart, permissivos, dispositivos de segurança, estado de rede e comandos do processo. Eliminar a condição impeditiva e habilitar a partida conforme o procedimento.
6.1.7 Navegação;240;Warnings;Navigation: Data not valid from MC;Dados recebidos do controlador mestre estão inválidos, incompletos ou desatualizados por perda de comunicação, timeout, mapeamento incorreto, sincronização insuficiente ou controlador remoto indisponível.;Verificar a comunicação com o controlador mestre, alimentação e estado dos equipamentos de rede, cabos e conectores. Confirmar mapeamento, sequência e atualização das variáveis. Restabelecer a comunicação e validar os dados antes de retomar o movimento automático.
6.1.7 Navegação;241;Fault;Navigation: Line Not Found;A linha ou referência de navegação necessária não foi detectada por marcação ausente, interrompida, danificada ou fora da área de leitura, sensor sujo ou desalinhado, altura inadequada ou falha de comunicação.;Parar o veículo em segurança e inspecionar a linha de navegação e a área de leitura. Limpar e alinhar o sensor, verificar fixação, distância, cabos e comunicação. Reposicionar o veículo sobre a referência e confirmar a leitura antes de retomar o automático.
6.1.7 Navegação;242;Fault;Navigation: Line Lost;A referência de navegação foi perdida durante o deslocamento por interrupção ou dano na linha, desvio do veículo, sujeira no sensor, desalinhamento, oscilação mecânica ou falha de sinal e comunicação.;Imobilizar o veículo, verificar a continuidade e condição da linha e reposicioná-lo sobre a trajetória. Limpar e inspecionar o sensor, sua fixação, alinhamento, cabos e comunicação. Confirmar a leitura estável e executar o procedimento de retomada.
6.1.7 Navegação;243;Warnings;Navigation: Anticollision On;O sistema anticolisão está ativo por presença de obstáculo ou pessoa no campo de proteção, objeto na trajetória, reflexão ou interferência, scanner obstruído ou sujo, ou condição de segurança ainda não liberada.;Manter o veículo parado e inspecionar a área protegida. Remover obstáculos somente em condição segura, limpar a janela dos scanners e verificar alinhamento e fixação. Confirmar que os campos de proteção estão livres e executar o rearme conforme o procedimento.
6.1.7 Navegação;244;Fault;Navigation: CheckPointFailed;O ponto de controle da rota não foi detectado ou validado devido a marcação ausente ou danificada, posicionamento incorreto, leitura instável, dados de rota incompatíveis ou falha do sensor de navegação.;Parar o veículo em segurança, verificar a marcação do ponto de controle e o posicionamento do veículo. Limpar e inspecionar o sensor, confirmar a rota e os dados configurados e reposicionar para nova leitura. Liberar o ciclo somente após validação do ponto.
6.1.7 Navegação;245;Fault;Navigation: Precise Positioning Not Reached;A posição precisa solicitada não foi atingida por erro de leitura da referência, desvio de trajetória, escorregamento, obstáculo, falha de direção ou tração, sensor desalinhado ou parâmetros de aproximação inadequados.;Verificar a área e remover impedimentos, confirmar a referência de navegação e a leitura do sensor. Inspecionar rodas, direção, tração e alinhamento mecânico. Reposicionar o veículo, repetir a aproximação e ajustar parâmetros somente após validar o conjunto.
6.1.7 Navegação;270;Warnings;PGV: Line needed not FOUND;A linha de navegação requerida pelo leitor óptico não está disponível ou não foi reconhecida devido a marcação ausente, danificada, suja, fora da faixa de leitura, sensor desalinhado ou comunicação instável.;Inspecionar e limpar a linha e a cabeça de leitura, verificar fixação, alinhamento, distância, cabos e comunicação. Reposicionar o veículo sobre a referência e confirmar a leitura correta antes de reiniciar o percurso automático.
6.1.7 Navegação;271;Warnings;PGV: DMC Lost;O código de navegação deixou de ser lido por sujeira, dano ou obstrução da marcação, posicionamento fora da área de leitura, sensor desalinhado, variação mecânica ou falha de comunicação.;Parar o veículo, limpar e inspecionar o código e a cabeça de leitura. Verificar fixação, alinhamento, distância, cabos e comunicação. Reposicionar o veículo para recuperar a leitura e confirmar a identificação correta antes de retomar o ciclo.
6.1.5 Segurança;300;Fault;PLS Front: Scanner Dirty;A janela óptica do scanner está suja, obstruída ou com condição que reduz a qualidade de leitura, como poeira, óleo, condensação, riscos ou objeto muito próximo.;Parar o veículo em condição segura e limpar cuidadosamente a janela óptica com material adequado. Remover obstruções, verificar danos, condensação, fixação e alinhamento. Confirmar no diagnóstico que a condição de contaminação foi eliminada antes do rearme.
6.1.5 Segurança;301;Fault;PLS Front: Error Scanner;Falha do scanner de segurança por alimentação ausente ou instável, erro interno, configuração inválida, cabo ou conector danificado, perda de comunicação ou circuito de segurança inconsistente.;Manter o veículo parado, verificar alimentação, indicadores, cabos, conectores e comunicação do scanner. Confirmar a configuração e o estado dos canais de segurança, reiniciar de forma controlada e testar os campos. Persistindo, substituir o scanner após diagnóstico.
6.1.5 Segurança;302;Fault;PLS Front: Not Run Scanner;O scanner de segurança não entrou em operação por inicialização incompleta, ausência de alimentação, configuração ou reinício pendente, comunicação indisponível, entrada de segurança ativa ou falha interna.;Verificar alimentação e indicadores do scanner, cabos, conectores, comunicação e condições de reinício. Confirmar a configuração e liberar os permissivos de segurança somente com a área protegida. Reiniciar e validar os campos antes de liberar o veículo.
